Gene,Status,Pathways_Found
RANBP3L,Unmapped,0
C8orf22,Unmapped,0
PDZK1IP1,Unmapped,0
ABCC3,Mapped,20
WDR89,Unmapped,0
SYNE2,Mapped,4
ISCA2,Mapped,20
APOA1,Mapped,20
BCMO1,Mapped,6
GCSH,Mapped,20
PTGR2,Mapped,5
LIPC,Mapped,20
ALDH1A2,Mapped,20
RP11-57H12.5,Unmapped,0
TMEM56,Unmapped,0
CNN3,Unmapped,0
RWDD3,Mapped,5
ALG14,Mapped,20
RRN3P2,Unmapped,0
PKD2,Mapped,20
RP11-10L7.1,Unmapped,0
HERC6,Mapped,20
MIR5685,Unmapped,0
ELOVL5,Mapped,20
RBM25,Mapped,20
ADA,Mapped,20
RP11-445H22.3,Unmapped,0
PKIG,Unmapped,0
ACTN3,Mapped,14
NDUFV1,Mapped,20
NUDT8,Mapped,4
CORO1B,Unmapped,0
GSTP1,Mapped,20
PITPNM1,Mapped,20
AIP,Mapped,17
HINT1,Mapped,20
LANCL1,Unmapped,0
PIGH,Mapped,20
TUFT1,Unmapped,0
GSTM1,Mapped,20
GSTM2,Mapped,12
GSTM5,Mapped,12
GSTM4,Mapped,20
GSTM3,Mapped,20
GPR61,Unmapped,0
CHMP1A,Mapped,5
C16orf55,Unmapped,0
DBNDD1,Unmapped,0
RP11-368I7.4,Unmapped,0
TCF25,Mapped,20
SPATA2L,Unmapped,0
SPG7,Mapped,20
SPATA33,Unmapped,0
CDK10,Unmapped,0
FANCA,Mapped,20
SLC28A1,Mapped,20
CCT7,Mapped,20
ZSCAN25,Mapped,12
RCC2P6,Unmapped,0
RAD1,Mapped,20
U6,Unmapped,0
OASL,Mapped,20
LPAL2,Unmapped,0
PRDX5,Mapped,20
DPF2,Mapped,20
RIN1,Mapped,16
POLA2,Mapped,20
C11orf68,Unmapped,0
LTBP3,Mapped,20
AL450992.2,Unmapped,0
CYB5A,Mapped,20
C18orf63,Unmapped,0
LIN52,Mapped,20
RP4-647C14.2,Unmapped,0
A-575C2.4,Unmapped,0
DCUN1D3,Mapped,20
GOLT1B,Unmapped,0
SLCO1A2,Mapped,20
PTPRCAP,Unmapped,0
RPS6KB2,Mapped,20
SERTAD3,Unmapped,0
BLVRB,Mapped,20
CYP2B7P1,Unmapped,0
C19orf54,Unmapped,0
SLC12A3,Mapped,20
CETP,Mapped,18
AMFR,Mapped,20
MT1X,Mapped,3
NLRC5,Mapped,20
ZKSCAN1,Mapped,15
REV3L,Mapped,20
FYN,Mapped,20
TRAF3IP2,Unmapped,0
TRAF3IP2-AS1,Unmapped,0
KIAA1919,Mapped,3
SLC16A10,Mapped,20
CRIP3,Unmapped,0
RP11-480N24.4,Unmapped,0
ZNF318,Unmapped,0
SLC22A7,Mapped,20
DLK2,Unmapped,0
TTBK1,Unmapped,0
COQ5,Mapped,20
SCAPER,Unmapped,0
C15orf27,Unmapped,0
ETFA,Mapped,20
ISL2,Unmapped,0
LILRB2,Mapped,5
NFXL1,Unmapped,0
CNGA1,Mapped,20
NIPAL1,Mapped,14
CORIN,Mapped,20
ECI1,Mapped,20
DNASE1L2,Unmapped,0
PKD1,Mapped,20
CASKIN1,Unmapped,0
RP11-135J2.4,Unmapped,0
LYPLAL1,Unmapped,0
TMEM69,Unmapped,0
MKNK1,Mapped,20
MUTYH,Mapped,20
RPS8,Mapped,20
UROD,Mapped,20
C1orf228,Unmapped,0
MOB3C,Unmapped,0
AKR1A1,Mapped,20
AC011893.3,Unmapped,0
MCM6,Mapped,20
ZRANB3,Unmapped,0
TMEM163,Unmapped,0
CCNT2,Mapped,20
UBXN4,Unmapped,0
RHPN2,Mapped,20
CTD-2538C1.2,Unmapped,0
NUDT19,Mapped,20
GPATCH1,Mapped,20
ANKRD27,Mapped,20
SLC7A9,Mapped,20
TDRD12,Mapped,3
CEP89,Mapped,20
SNX17,Unmapped,0
FNDC4,Unmapped,0
C2orf16,Unmapped,0
