disease_name,ratio_name,numerator_name,numerator_tissues,denominator_name,denominator_tissues
erythrocyte count,1-stearoyl-2-arachidonoyl-gpe (18:0/20:4) to 1-palmitoyl-2-docosahexaenoyl-gpe (16:0/22:6)*,1-stearoyl-2-arachidonoyl-gpe (18:0/20:4),Placenta | All Tissues | Brain,1-palmitoyl-2-docosahexaenoyl-gpe (16:0/22:6)*,All Tissues | Brain
erythrocyte count,dihomo-linolenate (20:3n3 or n6) to 1-lignoceroyl-gpc (24:0),dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
erythrocyte count,dihomo-linolenate (20:3n3 or n6) to 1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,Blood | Feces | Placenta | All Tissues | Brain
erythrocyte count,dihomo-linolenate (20:3n3 or n6) to 1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),Blood | Feces | Placenta | All Tissues | Brain
erythrocyte count,dihomo-linolenate (20:3n3 or n6) to 1-stearoyl-gpc (18:0),dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,1-stearoyl-gpc (18:0),Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine | All Tissues
erythrocyte count,dihomo-linolenate (20:3n3 or n6) to adrenate (22:4n6),dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,adrenate (22:4n6),Blood | Feces | Neuron | Placenta | Urine
erythrocyte count,dihomo-linolenate (20:3n3 or n6) to arachidonoylcholine,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,arachidonoylcholine,Blood | Placenta
erythrocyte count,dihomo-linolenate (20:3n3 or n6) to docosapentaenoate n3 DPA; 22:5n3,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine
erythrocyte count,"dihomo-linolenate (20:3n3 or n6) to sphingomyelin (d18:1/18:1, d18:2/18:0)",dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,"sphingomyelin (d18:1/18:1, d18:2/18:0)",Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine
erythrocyte count,"dihomo-linolenate (20:3n3 or n6) to sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta
erythrocyte count,docosapentaenoate n3 DPA; 22:5n3 to 10-heptadecenoate (17:1n7),docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine,10-heptadecenoate (17:1n7),Blood | Feces | Placenta
erythrocyte count,docosapentaenoate n3 DPA; 22:5n3 to palmitate (16:0),docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine,palmitate (16:0),Adipose Tissue | Bladder | Blood | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Sweat | Urine | Epidermis
erythrocyte count,"docosatrienoate (22:3n3) to 1,2-dipalmitoyl-gpc (16:0/16:0)",docosatrienoate (22:3n6)*,Blood | Feces | Placenta,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
erythrocyte count,"docosatrienoate (22:3n3) to 1,2-dipalmitoyl-gpc (16:0/16:0)",docosatrienoate (22:3n3),Blood | Feces | Placenta,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
erythrocyte count,docosatrienoate (22:3n3) to 1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,docosatrienoate (22:3n3),Blood | Feces | Placenta,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-(1-enyl-palmitoyl)-gpc (p-16:0)*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,1-(1-enyl-palmitoyl)-gpc (p-16:0)*,Blood | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-(1-enyl-palmitoyl)-gpc (p-16:0)*,docosatrienoate (22:3n3),Blood | Feces | Placenta,1-(1-enyl-palmitoyl)-gpc (p-16:0)*,Blood | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-arachidonoyl-gpe (20:4n6)*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,1-arachidonoyl-gpe (20:4n6)*,Placenta | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-arachidonoyl-gpe (20:4n6)*,docosatrienoate (22:3n3),Blood | Feces | Placenta,1-arachidonoyl-gpe (20:4n6)*,Placenta | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-lignoceroyl-gpc (24:0),docosatrienoate (22:3n6)*,Blood | Feces | Placenta,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-lignoceroyl-gpc (24:0),docosatrienoate (22:3n3),Blood | Feces | Placenta,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,docosatrienoate (22:3n3),Blood | Feces | Placenta,1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-myristoyl-2-arachidonoyl-gpc (14:0/20:4)*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,1-myristoyl-2-arachidonoyl-gpc (14:0/20:4)*,Blood | Feces | Urine | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-myristoyl-2-arachidonoyl-gpc (14:0/20:4)*,docosatrienoate (22:3n3),Blood | Feces | Placenta,1-myristoyl-2-arachidonoyl-gpc (14:0/20:4)*,Blood | Feces | Urine | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to 1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,Blood | Feces | Placenta | All Tissues | Brain
erythrocyte count,docosatrienoate (22:3n3) to 1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,docosatrienoate (22:3n3),Blood | Feces | Placenta,1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,Blood | Feces | Placenta | All Tissues | Brain
erythrocyte count,docosatrienoate (22:3n3) to 1-stearoyl-2-arachidonoyl-gpe (18:0/20:4),docosatrienoate (22:3n6)*,Blood | Feces | Placenta,1-stearoyl-2-arachidonoyl-gpe (18:0/20:4),Placenta | All Tissues | Brain
erythrocyte count,docosatrienoate (22:3n3) to 1-stearoyl-2-arachidonoyl-gpe (18:0/20:4),docosatrienoate (22:3n3),Blood | Feces | Placenta,1-stearoyl-2-arachidonoyl-gpe (18:0/20:4),Placenta | All Tissues | Brain
erythrocyte count,docosatrienoate (22:3n3) to 1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),docosatrienoate (22:3n6)*,Blood | Feces | Placenta,1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),Blood | Feces | Placenta | All Tissues | Brain
erythrocyte count,docosatrienoate (22:3n3) to 1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),docosatrienoate (22:3n3),Blood | Feces | Placenta,1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),Blood | Feces | Placenta | All Tissues | Brain
erythrocyte count,docosatrienoate (22:3n3) to arachidonoylcholine,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,arachidonoylcholine,Blood | Placenta
erythrocyte count,docosatrienoate (22:3n3) to arachidonoylcholine,docosatrienoate (22:3n3),Blood | Feces | Placenta,arachidonoylcholine,Blood | Placenta
erythrocyte count,docosatrienoate (22:3n3) to docosapentaenoate n3 DPA; 22:5n3,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine
erythrocyte count,docosatrienoate (22:3n3) to docosapentaenoate n3 DPA; 22:5n3,docosatrienoate (22:3n3),Blood | Feces | Placenta,docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine
erythrocyte count,docosatrienoate (22:3n3) to linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,Blood | Feces | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,Blood | Feces | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,docosatrienoate (22:3n3),Blood | Feces | Placenta,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,Blood | Feces | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,docosatrienoate (22:3n3),Blood | Feces | Placenta,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,Blood | Feces | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,Blood | Feces | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,Blood | Feces | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,docosatrienoate (22:3n3),Blood | Feces | Placenta,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,Blood | Feces | All Tissues
erythrocyte count,docosatrienoate (22:3n3) to linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,docosatrienoate (22:3n3),Blood | Feces | Placenta,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,Blood | Feces | All Tissues
erythrocyte count,"docosatrienoate (22:3n3) to sphingomyelin (d18:1/18:1, d18:2/18:0)",docosatrienoate (22:3n6)*,Blood | Feces | Placenta,"sphingomyelin (d18:1/18:1, d18:2/18:0)",Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine
erythrocyte count,"docosatrienoate (22:3n3) to sphingomyelin (d18:1/18:1, d18:2/18:0)",docosatrienoate (22:3n3),Blood | Feces | Placenta,"sphingomyelin (d18:1/18:1, d18:2/18:0)",Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine
erythrocyte count,"docosatrienoate (22:3n3) to sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",docosatrienoate (22:3n6)*,Blood | Feces | Placenta,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta
erythrocyte count,"docosatrienoate (22:3n3) to sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",docosatrienoate (22:3n3),Blood | Feces | Placenta,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta
erythrocyte count,linoleoylcholine* to 1-stearoyl-gpc (18:0),linoleoylcholine*,,1-stearoyl-gpc (18:0),Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine | All Tissues
erythrocyte count,oleate/vaccenate (18:1) to docosapentaenoate n3 DPA; 22:5n3,oleate/vaccenate (18:1),,docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine
erythrocyte volume,1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)* to n-acetyl-2-aminooctanoate*,1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,n-acetyl-2-aminooctanoate*,Urine
family history of Alzheimer’s disease,lignoceroyl sphingomyelin (d18:1/24:0) to 1-stearoyl-gpe (18:0),lignoceroyl sphingomyelin (d18:1/24:0),Blood | Cerebrospinal Fluid (CSF) | Saliva | Urine | All Tissues,1-stearoyl-gpe (18:0),Feces | Placenta
free androgen index,11beta-hydroxyandrosterone glucuronide to etiocholanolone glucuronide,11beta-hydroxyandrosterone glucuronide,Blood | Kidney | Liver | Urine,etiocholanolone glucuronide,Blood | Kidney | Liver | Urine
free androgen index,"5alpha-pregnan-3beta,20alpha-diol disulfate to etiocholanolone glucuronide","5alpha-pregnan-3beta,20alpha-diol disulfate",Feces | Placenta,etiocholanolone glucuronide,Blood | Kidney | Liver | Urine
free androgen index,etiocholanolone glucuronide to androsterone glucuronide,etiocholanolone glucuronide,Blood | Kidney | Liver | Urine,androsterone glucuronide,Adipose Tissue | Blood | Kidney | Liver | Urine
free androgen index,etiocholanolone glucuronide to androsterone sulfate,etiocholanolone glucuronide,Blood | Kidney | Liver | Urine,androsterone sulfate,Adipose Tissue | Blood | Feces | Kidney | Liver | Placenta | Skeletal Muscle | Testis | Urine | Epidermis | Adrenal Cortex | Adrenal Medulla | Ovary | Adrenal Gland
free androgen index,etiocholanolone glucuronide to androsterone sulfate,etiocholanolone glucuronide,Blood | Kidney | Liver | Urine,andro steroid monosulfate c19h28o6s (1)*,Adipose Tissue | Blood | Feces | Kidney | Liver | Placenta | Skeletal Muscle | Testis | Urine | Epidermis | Adrenal Cortex | Adrenal Medulla | Ovary | Adrenal Gland
free androgen index,etiocholanolone glucuronide to epiandrosterone sulfate,etiocholanolone glucuronide,Blood | Kidney | Liver | Urine,epiandrosterone sulfate,Blood | Feces
free androgen index,"sphingomyelin (d18:1/18:1, d18:2/18:0) to deoxycarnitine","sphingomyelin (d18:1/18:1, d18:2/18:0)",Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine,deoxycarnitine,Blood | Feces | Kidney | Liver | Placenta | Saliva | Urine
gout,"2,6-dihydroxybenzoic acid to 3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)","2,6-dihydroxybenzoic acid",Blood | Urine,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),Blood | Feces | Placenta | Urine
gout,"2,6-dihydroxybenzoic acid to caffeic acid sulfate","2,6-dihydroxybenzoic acid",Blood | Urine,caffeic acid sulfate,Blood | Urine
gout,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf) to 4-allylphenol sulfate,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),Blood | Feces | Placenta | Urine,4-allylphenol sulfate,Blood
gout,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf) to n-acetylhistidine,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),Blood | Feces | Placenta | Urine,n-acetylhistidine,Feces | Placenta
gout,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf) to n-acetylphenylalanine,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),Blood | Feces | Placenta | Urine,n-acetylphenylalanine,Blood | Feces | Saliva | Urine
gout,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf) to xanthurenate,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),Blood | Feces | Placenta | Urine,xanthurenate,Blood | Feces | Urine | Epidermis
gout,3-hydroxyoctanoylcarnitine (1) to acetylcarnitine (c2),3-hydroxyoctanoylcarnitine (1),Blood | Urine,acetylcarnitine (c2),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Neuron | Placenta | Prostate | Saliva | Skeletal Muscle | Urine | Brain | Semen
gout,3-hydroxyoctanoylcarnitine (1) to acetylcarnitine (c2),3-hydroxyoctanoylcarnitine (2),Blood | Urine,acetylcarnitine (c2),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Neuron | Placenta | Prostate | Saliva | Skeletal Muscle | Urine | Brain | Semen
gout,3-hydroxyoctanoylcarnitine (2) to acetylcarnitine (c2),3-hydroxyoctanoylcarnitine (1),Blood | Urine,acetylcarnitine (c2),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Neuron | Placenta | Prostate | Saliva | Skeletal Muscle | Urine | Brain | Semen
gout,3-hydroxyoctanoylcarnitine (2) to acetylcarnitine (c2),3-hydroxyoctanoylcarnitine (2),Blood | Urine,acetylcarnitine (c2),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Neuron | Placenta | Prostate | Saliva | Skeletal Muscle | Urine | Brain | Semen
gout,8-methoxykynurenate to n-acetylhistidine,8-methoxykynurenate,,n-acetylhistidine,Feces | Placenta
gout,8-methoxykynurenate to xanthurenate,8-methoxykynurenate,,xanthurenate,Blood | Feces | Urine | Epidermis
gout,"adenosine 3',5'-cyclic monophosphate (camp) to urate","adenosine 3',5'-cyclic monophosphate (camp)",Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Urine | All Tissues,urate,Adipose Tissue | Amniotic Fluid | Bladder | Blood | Cerebrospinal Fluid (CSF) | Feces | Kidney | Liver | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Spleen | Urine | Epidermis | Intestine | Brain | Erythrocyte | Bile
gout,"androstenediol (3beta,17beta) disulfate (2) to n-acetylphenylalanine","androstenediol (3beta,17beta) disulfate (1)",Blood | Feces | Placenta,n-acetylphenylalanine,Blood | Feces | Saliva | Urine
gout,"androstenediol (3beta,17beta) disulfate (2) to n-acetylphenylalanine","androstenediol (3beta,17beta) disulfate (2)",Blood | Feces | Placenta,n-acetylphenylalanine,Blood | Feces | Saliva | Urine
gout,"etiocholanolone glucuronide to androstenediol (3beta,17beta) disulfate (2)",etiocholanolone glucuronide,Blood | Kidney | Liver | Urine,"androstenediol (3beta,17beta) disulfate (1)",Blood | Feces | Placenta
gout,"etiocholanolone glucuronide to androstenediol (3beta,17beta) disulfate (2)",etiocholanolone glucuronide,Blood | Kidney | Liver | Urine,"androstenediol (3beta,17beta) disulfate (2)",Blood | Feces | Placenta
gout,gamma-glutamylleucine to propionylcarnitine (c3),gamma-glutamylleucine,Blood | Feces | Placenta,propionylcarnitine (c3),Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine
gout,n-acetylleucine to 3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),n-acetylleucine,Feces | Saliva,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),Blood | Feces | Placenta | Urine
gout,n-acetylleucine to 8-methoxykynurenate,n-acetylleucine,Feces | Saliva,8-methoxykynurenate,
gout,n-methylproline to stachydrine,n-methylproline,Blood | Feces | Placenta | Urine,stachydrine,Blood | Feces | Placenta | Saliva | Urine
gout,"urate to androstenediol (3beta,17beta) disulfate (2)",urate,Adipose Tissue | Amniotic Fluid | Bladder | Blood | Cerebrospinal Fluid (CSF) | Feces | Kidney | Liver | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Spleen | Urine | Epidermis | Intestine | Brain | Erythrocyte | Bile,"androstenediol (3beta,17beta) disulfate (1)",Blood | Feces | Placenta
gout,"urate to androstenediol (3beta,17beta) disulfate (2)",urate,Adipose Tissue | Amniotic Fluid | Bladder | Blood | Cerebrospinal Fluid (CSF) | Feces | Kidney | Liver | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Spleen | Urine | Epidermis | Intestine | Brain | Erythrocyte | Bile,"androstenediol (3beta,17beta) disulfate (2)",Blood | Feces | Placenta
granulocyte count,ergothioneine to arachidoylcarnitine (c20)*,ergothioneine,Blood | Placenta | Urine,arachidoylcarnitine (c20)*,Blood | Urine
granulocyte count,ergothioneine to lignoceroylcarnitine (c24)*,ergothioneine,Blood | Placenta | Urine,lignoceroylcarnitine (c24)*,Blood
hair color,dihomo-linolenate (20:3n3 or n6) to 2-hydroxypalmitate,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,2-hydroxypalmitate,Feces | Placenta
hair color,dihomo-linolenate (20:3n3 or n6) to n-stearoyl-sphingadienine (d18:2/18:0)*,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,n-stearoyl-sphingadienine (d18:2/18:0)*,Feces
hair color,dihomo-linolenate (20:3n3 or n6) to palmitoleoylcarnitine (c16:1)*,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,palmitoleoylcarnitine (c16:1)*,
hair color,dihomo-linolenate (20:3n3 or n6) to tetradecadienoate (14:2)*,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,tetradecadienoate (14:2)*,
health trait,gamma-glutamylleucine to gamma-glutamyltyrosine,gamma-glutamylleucine,Blood | Feces | Placenta,gamma-glutamyltyrosine,Blood | Feces
heel bone mineral density,(16 or 17)-methylstearate (a19:0 or i19:0) to hexadecanedioate (c16-dc),(16 or 17)-methylstearate (a19:0 or i19:0),Feces,hexadecanedioate (c16-dc),Feces
heel bone mineral density,1-lignoceroyl-gpc (24:0) to 1-(1-enyl-palmitoyl)-2-linoleoyl-gpc (p-16:0/18:2)*,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues,1-(1-enyl-palmitoyl)-2-linoleoyl-gpc (p-16:0/18:2)*,Blood | Feces | Saliva | Urine | All Tissues
heel bone mineral density,1-lignoceroyl-gpc (24:0) to 1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain
heel bone mineral density,1-lignoceroyl-gpc (24:0) to 1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain
heel bone mineral density,1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)* to n-acetyl-2-aminooctanoate*,1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,n-acetyl-2-aminooctanoate*,Urine
heel bone mineral density,1-palmitoyl-2-stearoyl-gpc (16:0/18:0) to 1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,1-palmitoyl-2-stearoyl-gpc (16:0/18:0),Placenta | All Tissues,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain
heel bone mineral density,3-hydroxybutyrate to octadecanedioate (c18-dc),3-hydroxybutyrate (bhba),Blood | Cerebrospinal Fluid (CSF) | Feces | Saliva | Urine | Cellular Cytoplasm,octadecanedioate (c18-dc),Feces
heel bone mineral density,carnitine C18:2 to n-acetyl-2-aminooctanoate*,linolenoylcarnitine (c18:3)*,Blood | Feces | Placenta | Urine,n-acetyl-2-aminooctanoate*,Urine
heel bone mineral density,carnitine C18:2 to n-acetyl-2-aminooctanoate*,linoleoylcarnitine (c18:2)*,Blood | Feces | Placenta | Urine,n-acetyl-2-aminooctanoate*,Urine
heel bone mineral density,dihomo-linolenate (20:3n3 or n6) to docosapentaenoate (n6 dpa; 22:5n6),dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,docosapentaenoate (n6 dpa; 22:5n6),Adipose Tissue | Blood | Feces | Fibroblasts | Placenta | Platelet | Urine
heel bone mineral density,docosatrienoate (22:3n3) to docosatrienoate (22:3n6)*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,docosatrienoate (22:3n6)*,Blood | Feces | Placenta
heel bone mineral density,docosatrienoate (22:3n3) to docosatrienoate (22:3n6)*,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,docosatrienoate (22:3n3),Blood | Feces | Placenta
heel bone mineral density,docosatrienoate (22:3n3) to docosatrienoate (22:3n6)*,docosatrienoate (22:3n3),Blood | Feces | Placenta,docosatrienoate (22:3n6)*,Blood | Feces | Placenta
heel bone mineral density,docosatrienoate (22:3n3) to docosatrienoate (22:3n6)*,docosatrienoate (22:3n3),Blood | Feces | Placenta,docosatrienoate (22:3n3),Blood | Feces | Placenta
heel bone mineral density,docosatrienoate (22:3n6)* to eicosenoate (20:1),docosatrienoate (22:3n6)*,Blood | Feces | Placenta,eicosenoate (20:1),
heel bone mineral density,docosatrienoate (22:3n6)* to eicosenoate (20:1),docosatrienoate (22:3n3),Blood | Feces | Placenta,eicosenoate (20:1),
heel bone mineral density,eicosanedioate (c20-dc) to n-acetyl-2-aminooctanoate*,eicosanedioate (c20-dc),,n-acetyl-2-aminooctanoate*,Urine
heel bone mineral density,erucate (22:1n9) to hexadecanedioate (c16-dc),erucate (22:1n9),Blood | Feces | Placenta | Adrenal Gland,hexadecanedioate (c16-dc),Feces
heel bone mineral density,erucate (22:1n9) to octadecanedioate (c18-dc),erucate (22:1n9),Blood | Feces | Placenta | Adrenal Gland,octadecanedioate (c18-dc),Feces
heel bone mineral density,hexadecanedioate (c16-dc) to 10-heptadecenoate (17:1n7),hexadecanedioate (c16-dc),Feces,10-heptadecenoate (17:1n7),Blood | Feces | Placenta
heel bone mineral density,hexadecanedioate (c16-dc) to 10-nonadecenoate (19:1n9),hexadecanedioate (c16-dc),Feces,10-nonadecenoate (19:1n9),Blood | Feces | Placenta
heel bone mineral density,hexadecanedioate (c16-dc) to 5-dodecenoate (12:1n7),hexadecanedioate (c16-dc),Feces,5-dodecenoate (12:1n7),Feces
heel bone mineral density,hexadecanedioate (c16-dc) to eicosenoate (20:1),hexadecanedioate (c16-dc),Feces,eicosenoate (20:1),
heel bone mineral density,hexadecanedioate (c16-dc) to margarate (17:0),hexadecanedioate (c16-dc),Feces,margarate (17:0),Adipose Tissue | Blood | Feces | Placenta | Prostate | Saliva | Skeletal Muscle | Urine
